epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.5,1.01773,6.2688,1.04587,0,0,0,0,0.51579,5.84197,0.83645,1.12899e-05,1.12899e-05,1.12899e-05
2,266.098,0.57206,5.82737,0.86236,0,0,0,0,0.31717,5.30456,0.79077,2.26011e-05,2.26011e-05,2.26011e-05
3,378.964,0.46827,5.46383,0.83478,0,0,0,0,0.26914,5.0046,0.78254,3.3824e-05,3.3824e-05,3.3824e-05
4,475.183,0.42382,5.1858,0.82774,0,0,0,0,0.24449,4.78695,0.77974,3.37019e-05,3.37019e-05,3.37019e-05
5,557.463,0.39649,4.91909,0.82276,0,0,0,0,0.22009,4.58125,0.77652,3.34713e-05,3.34713e-05,3.34713e-05
6,640.6,0.37387,4.68035,0.81812,0,0,0,0,0.21203,4.43064,0.77527,3.31763e-05,3.31763e-05,3.31763e-05
7,710.828,0.35644,4.4661,0.81565,0,0,0,0,0.19612,4.24362,0.7736,3.28181e-05,3.28181e-05,3.28181e-05
8,783.597,0.33462,4.28144,0.81428,0,0,0,0,0.17897,4.11547,0.7722,3.23982e-05,3.23982e-05,3.23982e-05
9,850.235,0.31804,4.10815,0.81376,0,0,0,0,0.17591,3.99708,0.77138,3.19182e-05,3.19182e-05,3.19182e-05
10,915.526,0.30835,3.98077,0.81163,0.00417,0.00057,0.00039,0.00039,0.16351,3.89,0.77042,3.138e-05,3.138e-05,3.138e-05
11,974.859,0.29892,3.87726,0.80873,0.04548,0.00057,0.00065,0.00065,0.16275,3.77658,0.76965,3.07858e-05,3.07858e-05,3.07858e-05
12,1035.09,0.29149,3.79335,0.80955,0.03839,0.00057,0.00058,0.00058,0.16064,3.70201,0.76999,3.01377e-05,3.01377e-05,3.01377e-05
13,1096.47,0.28715,3.71799,0.80914,0.00274,0.00468,0.00289,0.00289,0.14901,3.62153,0.7694,2.94385e-05,2.94385e-05,2.94385e-05
14,1152.92,0.27973,3.65295,0.80785,0.00605,0.00232,0.00443,0.00443,0.16398,3.56477,0.77007,2.86909e-05,2.86909e-05,2.86909e-05
15,1212.17,0.27002,3.58238,0.80836,0.0094,0.00444,0.00675,0.00656,0.14647,3.49033,0.76893,2.78978e-05,2.78978e-05,2.78978e-05
16,1272.04,0.26965,3.5364,0.808,0.02831,0.00358,0.00437,0.00437,0.146,3.43059,0.76867,2.70624e-05,2.70624e-05,2.70624e-05
17,1329.37,0.2652,3.47682,0.80776,0.01535,0.01023,0.01189,0.01189,0.14331,3.34237,0.76759,2.6188e-05,2.6188e-05,2.6188e-05
18,1381.65,0.26357,3.42539,0.80745,0.02253,0.01396,0.01733,0.01733,0.14606,3.28225,0.76783,2.52779e-05,2.52779e-05,2.52779e-05
19,1432.58,0.25442,3.36914,0.80687,0.02263,0.01485,0.01792,0.01792,0.13806,3.22311,0.76801,2.43359e-05,2.43359e-05,2.43359e-05
20,1487.44,0.25253,3.32365,0.80941,0.03844,0.03306,0.03309,0.03284,0.13686,3.15009,0.76711,2.33655e-05,2.33655e-05,2.33655e-05
21,1541.23,0.25191,3.27592,0.80922,0.05785,0.03888,0.04713,0.04711,0.13669,3.09649,0.76787,2.23708e-05,2.23708e-05,2.23708e-05
22,1599.72,0.24986,3.23889,0.80708,0.06299,0.05321,0.05633,0.0563,0.13727,3.03481,0.76782,2.13555e-05,2.13555e-05,2.13555e-05
23,1655.49,0.24654,3.19429,0.80565,0.07854,0.06418,0.07072,0.07069,0.13651,2.9821,0.76743,2.03236e-05,2.03236e-05,2.03236e-05
24,1711.7,0.24509,3.15751,0.8043,0.09137,0.07595,0.0852,0.08513,0.13063,2.93862,0.76712,1.92794e-05,1.92794e-05,1.92794e-05
25,1768.98,0.24753,3.12455,0.80734,0.09843,0.08962,0.09059,0.09049,0.13008,2.90047,0.76695,1.82268e-05,1.82268e-05,1.82268e-05
26,1827.61,0.24343,3.09689,0.80645,0.10723,0.10874,0.10581,0.10565,0.13179,2.86331,0.76722,1.717e-05,1.717e-05,1.717e-05
27,1884.51,0.24381,3.05245,0.80436,0.11461,0.13744,0.12527,0.12517,0.1304,2.82207,0.7667,1.61132e-05,1.61132e-05,1.61132e-05
28,1940.87,0.24395,3.02679,0.80634,0.11967,0.16897,0.13556,0.13537,0.13212,2.77849,0.7668,1.50606e-05,1.50606e-05,1.50606e-05
29,1994.62,0.23857,3.00685,0.80793,0.14057,0.17115,0.15123,0.1509,0.12957,2.75288,0.76691,1.40164e-05,1.40164e-05,1.40164e-05
30,2050.84,0.23745,2.98322,0.80422,0.1562,0.19006,0.166,0.16582,0.12752,2.72874,0.76694,1.29845e-05,1.29845e-05,1.29845e-05
31,2107.01,0.24098,2.9677,0.80433,0.15416,0.21787,0.1772,0.17693,0.12668,2.68836,0.76615,1.19692e-05,1.19692e-05,1.19692e-05
32,2162.08,0.23369,2.93372,0.80401,0.17299,0.23355,0.19571,0.19527,0.12697,2.66559,0.76637,1.09745e-05,1.09745e-05,1.09745e-05
33,2220.36,0.23685,2.92821,0.802,0.16934,0.24487,0.20158,0.20129,0.12275,2.65236,0.76664,1.00041e-05,1.00041e-05,1.00041e-05
34,2274.59,0.23343,2.90275,0.80281,0.17059,0.2504,0.20501,0.20484,0.12484,2.62979,0.76639,9.06209e-06,9.06209e-06,9.06209e-06
35,2331.66,0.23634,2.89346,0.80647,0.18416,0.26394,0.21944,0.21888,0.1255,2.6054,0.76594,8.15204e-06,8.15204e-06,8.15204e-06
36,2388.89,0.23551,2.87601,0.80536,0.17953,0.30241,0.23453,0.23401,0.12419,2.58394,0.76582,7.27757e-06,7.27757e-06,7.27757e-06
37,2448.91,0.23372,2.86132,0.80437,0.17803,0.30357,0.23477,0.23445,0.12378,2.57026,0.76594,6.44215e-06,6.44215e-06,6.44215e-06
38,2511.06,0.23015,2.8548,0.80509,0.18732,0.31101,0.24325,0.24299,0.12359,2.56194,0.76615,5.64907e-06,5.64907e-06,5.64907e-06
39,2566.69,0.23158,2.8391,0.80389,0.19135,0.30855,0.2453,0.245,0.12347,2.5538,0.76653,4.90146e-06,4.90146e-06,4.90146e-06
40,2621.75,0.23035,2.82562,0.80606,0.19778,0.32445,0.25793,0.25751,0.1214,2.54689,0.76637,4.20226e-06,4.20226e-06,4.20226e-06
41,2745.56,0.20651,2.67944,0.78004,0.16813,0.3951,0.26028,0.25973,0.14037,2.51943,0.76391,3.55424e-06,3.55424e-06,3.55424e-06
42,2825.25,0.20074,2.62787,0.77667,0.19064,0.42243,0.28362,0.28316,0.13549,2.49862,0.76366,2.95996e-06,2.95996e-06,2.95996e-06
43,2892.84,0.19671,2.61582,0.77591,0.19677,0.43241,0.29068,0.29031,0.13445,2.48417,0.76352,2.42176e-06,2.42176e-06,2.42176e-06
44,2954.55,0.19213,2.59739,0.77625,0.20524,0.43972,0.30266,0.3023,0.13296,2.47064,0.76374,1.94176e-06,1.94176e-06,1.94176e-06
45,3015.86,0.19261,2.58816,0.77579,0.19858,0.44997,0.30428,0.30397,0.13259,2.46446,0.76345,1.52186e-06,1.52186e-06,1.52186e-06
46,3075.52,0.19398,2.57723,0.77855,0.20134,0.45248,0.30961,0.30924,0.13228,2.45794,0.76359,1.16372e-06,1.16372e-06,1.16372e-06
47,3133.18,0.19209,2.57707,0.77589,0.20406,0.45439,0.31298,0.31272,0.13161,2.45278,0.76346,8.68745e-07,8.68745e-07,8.68745e-07
48,3187.88,0.19079,2.5686,0.77743,0.20208,0.45187,0.31245,0.31217,0.13091,2.44848,0.76357,6.38106e-07,6.38106e-07,6.38106e-07
49,3245.98,0.19129,2.5687,0.77563,0.21511,0.45054,0.3184,0.31805,0.13061,2.44578,0.76374,4.7271e-07,4.7271e-07,4.7271e-07
50,3303.12,0.19249,2.56475,0.778,0.20413,0.46715,0.31709,0.31683,0.13118,2.44579,0.76346,3.7321e-07,3.7321e-07,3.7321e-07
